 ,Label,Mean,Ch,Frame
1,Thingl-series-04.tif:0001-0262-0152:1,530.83,1,1
2,Thingl-series-04.tif:0001-0231-0194:1,208.61,1,1
3,Thingl-series-04.tif:0001-0259-0250:1,455.25,1,1
4,Thingl-series-04.tif:0001-0271-0379:1,244.62,1,1
5,Thingl-series-04.tif:0001-0306-0249:1,423.27,1,1
6,Thingl-series-04.tif:0001-0262-0152:2,23039.76,2,1
7,Thingl-series-04.tif:0001-0231-0194:2,23314.16,2,1
8,Thingl-series-04.tif:0001-0259-0250:2,23092.77,2,1
9,Thingl-series-04.tif:0001-0271-0379:2,23197.12,2,1
10,Thingl-series-04.tif:0001-0306-0249:2,23122.65,2,1
11,Thingl-series-04.tif:0001-0262-0152:3,528.21,1,2
12,Thingl-series-04.tif:0001-0231-0194:3,210.68,1,2
13,Thingl-series-04.tif:0001-0259-0250:3,456.56,1,2
14,Thingl-series-04.tif:0001-0271-0379:3,245.69,1,2
15,Thingl-series-04.tif:0001-0306-0249:3,424.09,1,2
16,Thingl-series-04.tif:0001-0262-0152:4,23198.01,2,2
17,Thingl-series-04.tif:0001-0231-0194:4,23418.04,2,2
18,Thingl-series-04.tif:0001-0259-0250:4,22985.06,2,2
19,Thingl-series-04.tif:0001-0271-0379:4,23230.07,2,2
20,Thingl-series-04.tif:0001-0306-0249:4,23192.53,2,2
21,Thingl-series-04.tif:0001-0262-0152:5,532.20,1,3
22,Thingl-series-04.tif:0001-0231-0194:5,211.56,1,3
23,Thingl-series-04.tif:0001-0259-0250:5,459.74,1,3
24,Thingl-series-04.tif:0001-0271-0379:5,247.75,1,3
25,Thingl-series-04.tif:0001-0306-0249:5,427.61,1,3
26,Thingl-series-04.tif:0001-0262-0152:6,23182.16,2,3
27,Thingl-series-04.tif:0001-0231-0194:6,23330.82,2,3
28,Thingl-series-04.tif:0001-0259-0250:6,23201.36,2,3
29,Thingl-series-04.tif:0001-0271-0379:6,23358.18,2,3
30,Thingl-series-04.tif:0001-0306-0249:6,23098.15,2,3
31,Thingl-series-04.tif:0001-0262-0152:7,536.00,1,4
32,Thingl-series-04.tif:0001-0231-0194:7,213.24,1,4
33,Thingl-series-04.tif:0001-0259-0250:7,461.67,1,4
34,Thingl-series-04.tif:0001-0271-0379:7,249.13,1,4
35,Thingl-series-04.tif:0001-0306-0249:7,428.77,1,4
36,Thingl-series-04.tif:0001-0262-0152:8,23250.01,2,4
37,Thingl-series-04.tif:0001-0231-0194:8,23100.45,2,4
38,Thingl-series-04.tif:0001-0259-0250:8,23322.17,2,4
39,Thingl-series-04.tif:0001-0271-0379:8,23104.37,2,4
40,Thingl-series-04.tif:0001-0306-0249:8,23209.55,2,4
41,Thingl-series-04.tif:0001-0262-0152:9,546.31,1,5
42,Thingl-series-04.tif:0001-0231-0194:9,216.45,1,5
43,Thingl-series-04.tif:0001-0259-0250:9,469.02,1,5
44,Thingl-series-04.tif:0001-0271-0379:9,255.36,1,5
45,Thingl-series-04.tif:0001-0306-0249:9,441.29,1,5
46,Thingl-series-04.tif:0001-0262-0152:10,23493.32,2,5
47,Thingl-series-04.tif:0001-0231-0194:10,24936.88,2,5
48,Thingl-series-04.tif:0001-0259-0250:10,24386.11,2,5
49,Thingl-series-04.tif:0001-0271-0379:10,24993.18,2,5
50,Thingl-series-04.tif:0001-0306-0249:10,24080.18,2,5
51,Thingl-series-04.tif:0001-0262-0152:11,564.22,1,6
52,Thingl-series-04.tif:0001-0231-0194:11,214.73,1,6
53,Thingl-series-04.tif:0001-0259-0250:11,458.69,1,6
54,Thingl-series-04.tif:0001-0271-0379:11,253.91,1,6
55,Thingl-series-04.tif:0001-0306-0249:11,447.13,1,6
56,Thingl-series-04.tif:0001-0262-0152:12,23583.25,2,6
57,Thingl-series-04.tif:0001-0231-0194:12,25249.12,2,6
58,Thingl-series-04.tif:0001-0259-0250:12,23914.32,2,6
59,Thingl-series-04.tif:0001-0271-0379:12,25294.09,2,6
60,Thingl-series-04.tif:0001-0306-0249:12,23704.32,2,6
61,Thingl-series-04.tif:0001-0262-0152:13,554.76,1,7
62,Thingl-series-04.tif:0001-0231-0194:13,211.61,1,7
63,Thingl-series-04.tif:0001-0259-0250:13,456.77,1,7
64,Thingl-series-04.tif:0001-0271-0379:13,245.69,1,7
65,Thingl-series-04.tif:0001-0306-0249:13,440.68,1,7
66,Thingl-series-04.tif:0001-0262-0152:14,23226.29,2,7
67,Thingl-series-04.tif:0001-0231-0194:14,23214.68,2,7
68,Thingl-series-04.tif:0001-0259-0250:14,23131.61,2,7
69,Thingl-series-04.tif:0001-0271-0379:14,23160.89,2,7
70,Thingl-series-04.tif:0001-0306-0249:14,23145.34,2,7
71,Thingl-series-04.tif:0001-0262-0152:15,557.63,1,8
72,Thingl-series-04.tif:0001-0231-0194:15,213.15,1,8
73,Thingl-series-04.tif:0001-0259-0250:15,460.26,1,8
74,Thingl-series-04.tif:0001-0271-0379:15,247.38,1,8
75,Thingl-series-04.tif:0001-0306-0249:15,442.60,1,8
76,Thingl-series-04.tif:0001-0262-0152:16,23147.77,2,8
77,Thingl-series-04.tif:0001-0231-0194:16,23196.65,2,8
78,Thingl-series-04.tif:0001-0259-0250:16,23180.34,2,8
79,Thingl-series-04.tif:0001-0271-0379:16,23233.87,2,8
80,Thingl-series-04.tif:0001-0306-0249:16,23231.05,2,8
81,Thingl-series-04.tif:0001-0262-0152:17,553.42,1,9
82,Thingl-series-04.tif:0001-0231-0194:17,212.10,1,9
83,Thingl-series-04.tif:0001-0259-0250:17,462.92,1,9
84,Thingl-series-04.tif:0001-0271-0379:17,248.97,1,9
85,Thingl-series-04.tif:0001-0306-0249:17,440.00,1,9
86,Thingl-series-04.tif:0001-0262-0152:18,23123.11,2,9
87,Thingl-series-04.tif:0001-0231-0194:18,23165.98,2,9
88,Thingl-series-04.tif:0001-0259-0250:18,23112.34,2,9
89,Thingl-series-04.tif:0001-0271-0379:18,23194.17,2,9
90,Thingl-series-04.tif:0001-0306-0249:18,23134.05,2,9
91,Thingl-series-04.tif:0001-0262-0152:19,549.85,1,10
92,Thingl-series-04.tif:0001-0231-0194:19,215.17,1,10
93,Thingl-series-04.tif:0001-0259-0250:19,465.80,1,10
94,Thingl-series-04.tif:0001-0271-0379:19,251.86,1,10
95,Thingl-series-04.tif:0001-0306-0249:19,440.32,1,10
96,Thingl-series-04.tif:0001-0262-0152:20,23169.17,2,10
97,Thingl-series-04.tif:0001-0231-0194:20,23424.34,2,10
98,Thingl-series-04.tif:0001-0259-0250:20,23070.49,2,10
99,Thingl-series-04.tif:0001-0271-0379:20,23243.07,2,10
100,Thingl-series-04.tif:0001-0306-0249:20,23205.34,2,10
101,Thingl-series-04.tif:0001-0262-0152:21,544.64,1,11
102,Thingl-series-04.tif:0001-0231-0194:21,214.44,1,11
103,Thingl-series-04.tif:0001-0259-0250:21,465.68,1,11
104,Thingl-series-04.tif:0001-0271-0379:21,252.46,1,11
105,Thingl-series-04.tif:0001-0306-0249:21,436.42,1,11
106,Thingl-series-04.tif:0001-0262-0152:22,23225.99,2,11
107,Thingl-series-04.tif:0001-0231-0194:22,23276.87,2,11
108,Thingl-series-04.tif:0001-0259-0250:22,23280.57,2,11
109,Thingl-series-04.tif:0001-0271-0379:22,23231.91,2,11
110,Thingl-series-04.tif:0001-0306-0249:22,23207.01,2,11
111,Thingl-series-04.tif:0001-0262-0152:23,543.06,1,12
112,Thingl-series-04.tif:0001-0231-0194:23,215.25,1,12
113,Thingl-series-04.tif:0001-0259-0250:23,468.38,1,12
114,Thingl-series-04.tif:0001-0271-0379:23,254.59,1,12
115,Thingl-series-04.tif:0001-0306-0249:23,436.65,1,12
116,Thingl-series-04.tif:0001-0262-0152:24,23204.93,2,12
117,Thingl-series-04.tif:0001-0231-0194:24,23180.43,2,12
118,Thingl-series-04.tif:0001-0259-0250:24,23094.76,2,12
119,Thingl-series-04.tif:0001-0271-0379:24,23185.89,2,12
120,Thingl-series-04.tif:0001-0306-0249:24,23235.70,2,12
121,Thingl-series-04.tif:0001-0262-0152:25,539.55,1,13
122,Thingl-series-04.tif:0001-0231-0194:25,215.02,1,13
123,Thingl-series-04.tif:0001-0259-0250:25,466.75,1,13
124,Thingl-series-04.tif:0001-0271-0379:25,254.71,1,13
125,Thingl-series-04.tif:0001-0306-0249:25,434.28,1,13
126,Thingl-series-04.tif:0001-0262-0152:26,23286.56,2,13
127,Thingl-series-04.tif:0001-0231-0194:26,23401.10,2,13
128,Thingl-series-04.tif:0001-0259-0250:26,23062.34,2,13
129,Thingl-series-04.tif:0001-0271-0379:26,23293.63,2,13
130,Thingl-series-04.tif:0001-0306-0249:26,23167.31,2,13
131,Thingl-series-04.tif:0001-0262-0152:27,540.91,1,14
132,Thingl-series-04.tif:0001-0231-0194:27,215.51,1,14
133,Thingl-series-04.tif:0001-0259-0250:27,468.79,1,14
134,Thingl-series-04.tif:0001-0271-0379:27,255.27,1,14
135,Thingl-series-04.tif:0001-0306-0249:27,435.16,1,14
136,Thingl-series-04.tif:0001-0262-0152:28,23269.02,2,14
137,Thingl-series-04.tif:0001-0231-0194:28,23299.50,2,14
138,Thingl-series-04.tif:0001-0259-0250:28,23192.56,2,14
139,Thingl-series-04.tif:0001-0271-0379:28,23101.62,2,14
