 ,Label,Mean,Ch,Frame
1,Thingl-series-05.tif:0001-0238-0420:1,344.59,1,1
2,Thingl-series-05.tif:0001-0091-0390:1,372.08,1,1
3,Thingl-series-05.tif:0001-0064-0297:1,828.45,1,1
4,Thingl-series-05.tif:0001-0083-0248:1,835.23,1,1
5,Thingl-series-05.tif:0001-0061-0167:1,244.87,1,1
6,Thingl-series-05.tif:0001-0383-0157:1,265.28,1,1
7,Thingl-series-05.tif:0001-0398-0187:1,263.26,1,1
8,Thingl-series-05.tif:0001-0463-0136:1,488.10,1,1
9,Thingl-series-05.tif:0001-0238-0420:2,22891.84,2,1
10,Thingl-series-05.tif:0001-0091-0390:2,22918.81,2,1
11,Thingl-series-05.tif:0001-0064-0297:2,22913.16,2,1
12,Thingl-series-05.tif:0001-0083-0248:2,22736.37,2,1
13,Thingl-series-05.tif:0001-0061-0167:2,22838.17,2,1
14,Thingl-series-05.tif:0001-0383-0157:2,22967.73,2,1
15,Thingl-series-05.tif:0001-0398-0187:2,23136.44,2,1
16,Thingl-series-05.tif:0001-0463-0136:2,22739.99,2,1
17,Thingl-series-05.tif:0001-0238-0420:3,341.48,1,2
18,Thingl-series-05.tif:0001-0091-0390:3,369.55,1,2
19,Thingl-series-05.tif:0001-0064-0297:3,827.15,1,2
20,Thingl-series-05.tif:0001-0083-0248:3,836.45,1,2
21,Thingl-series-05.tif:0001-0061-0167:3,247.18,1,2
22,Thingl-series-05.tif:0001-0383-0157:3,266.33,1,2
23,Thingl-series-05.tif:0001-0398-0187:3,264.29,1,2
24,Thingl-series-05.tif:0001-0463-0136:3,495.66,1,2
25,Thingl-series-05.tif:0001-0238-0420:4,22920.67,2,2
26,Thingl-series-05.tif:0001-0091-0390:4,22859.42,2,2
27,Thingl-series-05.tif:0001-0064-0297:4,22799.26,2,2
28,Thingl-series-05.tif:0001-0083-0248:4,22822.62,2,2
29,Thingl-series-05.tif:0001-0061-0167:4,23025.20,2,2
30,Thingl-series-05.tif:0001-0383-0157:4,22939.01,2,2
31,Thingl-series-05.tif:0001-0398-0187:4,23083.85,2,2
32,Thingl-series-05.tif:0001-0463-0136:4,22794.09,2,2
33,Thingl-series-05.tif:0001-0238-0420:5,330.15,1,3
34,Thingl-series-05.tif:0001-0091-0390:5,361.58,1,3
35,Thingl-series-05.tif:0001-0064-0297:5,821.79,1,3
36,Thingl-series-05.tif:0001-0083-0248:5,830.81,1,3
37,Thingl-series-05.tif:0001-0061-0167:5,250.08,1,3
38,Thingl-series-05.tif:0001-0383-0157:5,265.18,1,3
39,Thingl-series-05.tif:0001-0398-0187:5,261.72,1,3
40,Thingl-series-05.tif:0001-0463-0136:5,506.02,1,3
41,Thingl-series-05.tif:0001-0238-0420:6,23004.14,2,3
42,Thingl-series-05.tif:0001-0091-0390:6,22937.88,2,3
43,Thingl-series-05.tif:0001-0064-0297:6,22971.79,2,3
44,Thingl-series-05.tif:0001-0083-0248:6,22890.03,2,3
45,Thingl-series-05.tif:0001-0061-0167:6,22848.96,2,3
46,Thingl-series-05.tif:0001-0383-0157:6,23062.15,2,3
47,Thingl-series-05.tif:0001-0398-0187:6,23174.46,2,3
48,Thingl-series-05.tif:0001-0463-0136:6,22912.53,2,3
49,Thingl-series-05.tif:0001-0238-0420:7,294.41,1,4
50,Thingl-series-05.tif:0001-0091-0390:7,331.84,1,4
51,Thingl-series-05.tif:0001-0064-0297:7,784.18,1,4
52,Thingl-series-05.tif:0001-0083-0248:7,796.90,1,4
53,Thingl-series-05.tif:0001-0061-0167:7,247.18,1,4
54,Thingl-series-05.tif:0001-0383-0157:7,245.44,1,4
55,Thingl-series-05.tif:0001-0398-0187:7,240.48,1,4
56,Thingl-series-05.tif:0001-0463-0136:7,484.56,1,4
57,Thingl-series-05.tif:0001-0238-0420:8,23292.35,2,4
58,Thingl-series-05.tif:0001-0091-0390:8,23077.93,2,4
59,Thingl-series-05.tif:0001-0064-0297:8,22856.82,2,4
60,Thingl-series-05.tif:0001-0083-0248:8,22955.51,2,4
61,Thingl-series-05.tif:0001-0061-0167:8,23063.09,2,4
62,Thingl-series-05.tif:0001-0383-0157:8,23104.04,2,4
63,Thingl-series-05.tif:0001-0398-0187:8,23341.76,2,4
64,Thingl-series-05.tif:0001-0463-0136:8,22830.74,2,4
65,Thingl-series-05.tif:0001-0238-0420:9,255.42,1,5
66,Thingl-series-05.tif:0001-0091-0390:9,262.81,1,5
67,Thingl-series-05.tif:0001-0064-0297:9,665.74,1,5
68,Thingl-series-05.tif:0001-0083-0248:9,683.53,1,5
69,Thingl-series-05.tif:0001-0061-0167:9,211.75,1,5
70,Thingl-series-05.tif:0001-0383-0157:9,216.42,1,5
71,Thingl-series-05.tif:0001-0398-0187:9,214.81,1,5
72,Thingl-series-05.tif:0001-0463-0136:9,454.66,1,5
73,Thingl-series-05.tif:0001-0238-0420:10,22474.17,2,5
74,Thingl-series-05.tif:0001-0091-0390:10,22718.36,2,5
75,Thingl-series-05.tif:0001-0064-0297:10,22532.66,2,5
76,Thingl-series-05.tif:0001-0083-0248:10,22489.80,2,5
77,Thingl-series-05.tif:0001-0061-0167:10,22850.79,2,5
78,Thingl-series-05.tif:0001-0383-0157:10,22146.37,2,5
79,Thingl-series-05.tif:0001-0398-0187:10,22107.33,2,5
80,Thingl-series-05.tif:0001-0463-0136:10,21879.61,2,5
81,Thingl-series-05.tif:0001-0238-0420:11,236.04,1,6
82,Thingl-series-05.tif:0001-0091-0390:11,259.33,1,6
83,Thingl-series-05.tif:0001-0064-0297:11,670.58,1,6
84,Thingl-series-05.tif:0001-0083-0248:11,685.15,1,6
85,Thingl-series-05.tif:0001-0061-0167:11,205.51,1,6
86,Thingl-series-05.tif:0001-0383-0157:11,202.39,1,6
87,Thingl-series-05.tif:0001-0398-0187:11,203.11,1,6
88,Thingl-series-05.tif:0001-0463-0136:11,429.85,1,6
89,Thingl-series-05.tif:0001-0238-0420:12,21516.18,2,6
90,Thingl-series-05.tif:0001-0091-0390:12,21741.96,2,6
91,Thingl-series-05.tif:0001-0064-0297:12,21959.89,2,6
92,Thingl-series-05.tif:0001-0083-0248:12,21851.19,2,6
93,Thingl-series-05.tif:0001-0061-0167:12,21784.35,2,6
94,Thingl-series-05.tif:0001-0383-0157:12,21439.15,2,6
95,Thingl-series-05.tif:0001-0398-0187:12,21581.90,2,6
96,Thingl-series-05.tif:0001-0463-0136:12,21311.58,2,6
97,Thingl-series-05.tif:0001-0238-0420:13,234.86,1,7
98,Thingl-series-05.tif:0001-0091-0390:13,256.21,1,7
99,Thingl-series-05.tif:0001-0064-0297:13,670.08,1,7
100,Thingl-series-05.tif:0001-0083-0248:13,681.17,1,7
101,Thingl-series-05.tif:0001-0061-0167:13,199.61,1,7
102,Thingl-series-05.tif:0001-0383-0157:13,198.11,1,7
103,Thingl-series-05.tif:0001-0398-0187:13,201.61,1,7
104,Thingl-series-05.tif:0001-0463-0136:13,420.18,1,7
105,Thingl-series-05.tif:0001-0238-0420:14,21010.60,2,7
106,Thingl-series-05.tif:0001-0091-0390:14,21011.59,2,7
107,Thingl-series-05.tif:0001-0064-0297:14,21480.32,2,7
108,Thingl-series-05.tif:0001-0083-0248:14,21403.44,2,7
109,Thingl-series-05.tif:0001-0061-0167:14,21071.70,2,7
110,Thingl-series-05.tif:0001-0383-0157:14,20521.79,2,7
111,Thingl-series-05.tif:0001-0398-0187:14,21110.66,2,7
112,Thingl-series-05.tif:0001-0463-0136:14,20789.96,2,7
113,Thingl-series-05.tif:0001-0238-0420:15,237.51,1,8
114,Thingl-series-05.tif:0001-0091-0390:15,259.78,1,8
115,Thingl-series-05.tif:0001-0064-0297:15,678.77,1,8
116,Thingl-series-05.tif:0001-0083-0248:15,686.03,1,8
117,Thingl-series-05.tif:0001-0061-0167:15,198.77,1,8
118,Thingl-series-05.tif:0001-0383-0157:15,195.15,1,8
119,Thingl-series-05.tif:0001-0398-0187:15,198.62,1,8
120,Thingl-series-05.tif:0001-0463-0136:15,410.88,1,8
121,Thingl-series-05.tif:0001-0238-0420:16,20544.68,2,8
122,Thingl-series-05.tif:0001-0091-0390:16,20767.70,2,8
123,Thingl-series-05.tif:0001-0064-0297:16,21213.58,2,8
124,Thingl-series-05.tif:0001-0083-0248:16,21168.60,2,8
125,Thingl-series-05.tif:0001-0061-0167:16,20956.09,2,8
126,Thingl-series-05.tif:0001-0383-0157:16,20339.07,2,8
127,Thingl-series-05.tif:0001-0398-0187:16,20760.33,2,8
128,Thingl-series-05.tif:0001-0463-0136:16,20393.85,2,8
129,Thingl-series-05.tif:0001-0238-0420:17,236.52,1,9
130,Thingl-series-05.tif:0001-0091-0390:17,258.37,1,9
131,Thingl-series-05.tif:0001-0064-0297:17,674.93,1,9
132,Thingl-series-05.tif:0001-0083-0248:17,682.39,1,9
133,Thingl-series-05.tif:0001-0061-0167:17,194.06,1,9
134,Thingl-series-05.tif:0001-0383-0157:17,193.75,1,9
135,Thingl-series-05.tif:0001-0398-0187:17,198.09,1,9
136,Thingl-series-05.tif:0001-0463-0136:17,405.44,1,9
137,Thingl-series-05.tif:0001-0238-0420:18,20314.36,2,9
138,Thingl-series-05.tif:0001-0091-0390:18,20439.80,2,9
139,Thingl-series-05.tif:0001-0064-0297:18,21118.80,2,9
140,Thingl-series-05.tif:0001-0083-0248:18,20841.99,2,9
141,Thingl-series-05.tif:0001-0061-0167:18,20486.43,2,9
142,Thingl-series-05.tif:0001-0383-0157:18,20022.56,2,9
143,Thingl-series-05.tif:0001-0398-0187:18,20466.07,2,9
144,Thingl-series-05.tif:0001-0463-0136:18,20198.91,2,9
145,Thingl-series-05.tif:0001-0238-0420:19,242.64,1,10
146,Thingl-series-05.tif:0001-0091-0390:19,263.71,1,10
147,Thingl-series-05.tif:0001-0064-0297:19,686.48,1,10
148,Thingl-series-05.tif:0001-0083-0248:19,690.64,1,10
149,Thingl-series-05.tif:0001-0061-0167:19,194.51,1,10
150,Thingl-series-05.tif:0001-0383-0157:19,192.85,1,10
151,Thingl-series-05.tif:0001-0398-0187:19,196.78,1,10
152,Thingl-series-05.tif:0001-0463-0136:19,400.88,1,10
153,Thingl-series-05.tif:0001-0238-0420:20,20178.70,2,10
154,Thingl-series-05.tif:0001-0091-0390:20,20252.41,2,10
155,Thingl-series-05.tif:0001-0064-0297:20,20931.07,2,10
156,Thingl-series-05.tif:0001-0083-0248:20,20681.10,2,10
157,Thingl-series-05.tif:0001-0061-0167:20,20269.82,2,10
158,Thingl-series-05.tif:0001-0383-0157:20,19897.81,2,10
159,Thingl-series-05.tif:0001-0398-0187:20,20175.82,2,10
160,Thingl-series-05.tif:0001-0463-0136:20,20013.98,2,10
161,Thingl-series-05.tif:0001-0238-0420:21,240.04,1,11
162,Thingl-series-05.tif:0001-0091-0390:21,261.50,1,11
163,Thingl-series-05.tif:0001-0064-0297:21,683.52,1,11
164,Thingl-series-05.tif:0001-0083-0248:21,685.79,1,11
165,Thingl-series-05.tif:0001-0061-0167:21,190.90,1,11
166,Thingl-series-05.tif:0001-0383-0157:21,191.13,1,11
167,Thingl-series-05.tif:0001-0398-0187:21,195.88,1,11
168,Thingl-series-05.tif:0001-0463-0136:21,396.89,1,11
169,Thingl-series-05.tif:0001-0238-0420:22,19982.99,2,11
170,Thingl-series-05.tif:0001-0091-0390:22,20152.77,2,11
171,Thingl-series-05.tif:0001-0064-0297:22,20818.23,2,11
172,Thingl-series-05.tif:0001-0083-0248:22,20546.49,2,11
173,Thingl-series-05.tif:0001-0061-0167:22,20065.34,2,11
174,Thingl-series-05.tif:0001-0383-0157:22,19432.14,2,11
175,Thingl-series-05.tif:0001-0398-0187:22,20312.23,2,11
176,Thingl-series-05.tif:0001-0463-0136:22,19970.39,2,11
177,Thingl-series-05.tif:0001-0238-0420:23,242.21,1,12
178,Thingl-series-05.tif:0001-0091-0390:23,264.62,1,12
179,Thingl-series-05.tif:0001-0064-0297:23,689.14,1,12
180,Thingl-series-05.tif:0001-0083-0248:23,693.02,1,12
181,Thingl-series-05.tif:0001-0061-0167:23,190.89,1,12
182,Thingl-series-05.tif:0001-0383-0157:23,190.65,1,12
183,Thingl-series-05.tif:0001-0398-0187:23,195.59,1,12
184,Thingl-series-05.tif:0001-0463-0136:23,395.27,1,12
185,Thingl-series-05.tif:0001-0238-0420:24,20076.47,2,12
186,Thingl-series-05.tif:0001-0091-0390:24,19861.50,2,12
187,Thingl-series-05.tif:0001-0064-0297:24,20718.36,2,12
188,Thingl-series-05.tif:0001-0083-0248:24,20544.31,2,12
189,Thingl-series-05.tif:0001-0061-0167:24,20000.50,2,12
190,Thingl-series-05.tif:0001-0383-0157:24,19399.31,2,12
191,Thingl-series-05.tif:0001-0398-0187:24,20124.01,2,12
192,Thingl-series-05.tif:0001-0463-0136:24,19794.07,2,12
193,Thingl-series-05.tif:0001-0238-0420:25,244.19,1,13
194,Thingl-series-05.tif:0001-0091-0390:25,267.83,1,13
195,Thingl-series-05.tif:0001-0064-0297:25,692.16,1,13
196,Thingl-series-05.tif:0001-0083-0248:25,694.21,1,13
197,Thingl-series-05.tif:0001-0061-0167:25,190.22,1,13
198,Thingl-series-05.tif:0001-0383-0157:25,189.43,1,13
199,Thingl-series-05.tif:0001-0398-0187:25,193.39,1,13
200,Thingl-series-05.tif:0001-0463-0136:25,391.15,1,13
201,Thingl-series-05.tif:0001-0238-0420:26,19784.22,2,13
202,Thingl-series-05.tif:0001-0091-0390:26,20050.21,2,13
203,Thingl-series-05.tif:0001-0064-0297:26,20640.22,2,13
204,Thingl-series-05.tif:0001-0083-0248:26,20350.16,2,13
205,Thingl-series-05.tif:0001-0061-0167:26,20004.85,2,13
206,Thingl-series-05.tif:0001-0383-0157:26,19293.24,2,13
207,Thingl-series-05.tif:0001-0398-0187:26,19981.27,2,13
208,Thingl-series-05.tif:0001-0463-0136:26,19712.13,2,13
209,Thingl-series-05.tif:0001-0238-0420:27,247.28,1,14
210,Thingl-series-05.tif:0001-0091-0390:27,269.78,1,14
211,Thingl-series-05.tif:0001-0064-0297:27,696.30,1,14
212,Thingl-series-05.tif:0001-0083-0248:27,696.83,1,14
213,Thingl-series-05.tif:0001-0061-0167:27,189.45,1,14
214,Thingl-series-05.tif:0001-0383-0157:27,190.07,1,14
215,Thingl-series-05.tif:0001-0398-0187:27,194.95,1,14
216,Thingl-series-05.tif:0001-0463-0136:27,390.49,1,14
217,Thingl-series-05.tif:0001-0238-0420:28,19833.02,2,14
218,Thingl-series-05.tif:0001-0091-0390:28,19908.59,2,14
219,Thingl-series-05.tif:0001-0064-0297:28,20631.29,2,14
220,Thingl-series-05.tif:0001-0083-0248:28,20282.93,2,14
221,Thingl-series-05.tif:0001-0061-0167:28,19887.30,2,14
222,Thingl-series-05.tif:0001-0383-0157:28,19344.74,2,14
223,Thingl-series-05.tif:0001-0398-0187:28,19910.79,2,14
224,Thingl-series-05.tif:0001-0463-0136:28,19654.51,2,14
225,Thingl-series-05.tif:0001-0238-0420:29,253.14,1,15
226,Thingl-series-05.tif:0001-0091-0390:29,273.56,1,15
227,Thingl-series-05.tif:0001-0064-0297:29,703.60,1,15
228,Thingl-series-05.tif:0001-0083-0248:29,701.94,1,15
229,Thingl-series-05.tif:0001-0061-0167:29,188.83,1,15
230,Thingl-series-05.tif:0001-0383-0157:29,190.50,1,15
231,Thingl-series-05.tif:0001-0398-0187:29,195.30,1,15
232,Thingl-series-05.tif:0001-0463-0136:29,385.63,1,15
233,Thingl-series-05.tif:0001-0238-0420:30,19739.21,2,15
234,Thingl-series-05.tif:0001-0091-0390:30,19841.00,2,15
235,Thingl-series-05.tif:0001-0064-0297:30,20585.50,2,15
236,Thingl-series-05.tif:0001-0083-0248:30,20166.57,2,15
237,Thingl-series-05.tif:0001-0061-0167:30,19787.10,2,15
238,Thingl-series-05.tif:0001-0383-0157:30,19287.43,2,15
239,Thingl-series-05.tif:0001-0398-0187:30,19861.69,2,15
240,Thingl-series-05.tif:0001-0463-0136:30,19661.35,2,15
241,Thingl-series-05.tif:0001-0238-0420:31,255.16,1,16
242,Thingl-series-05.tif:0001-0091-0390:31,276.53,1,16
243,Thingl-series-05.tif:0001-0064-0297:31,705.35,1,16
244,Thingl-series-05.tif:0001-0083-0248:31,704.78,1,16
245,Thingl-series-05.tif:0001-0061-0167:31,187.86,1,16
246,Thingl-series-05.tif:0001-0383-0157:31,191.58,1,16
247,Thingl-series-05.tif:0001-0398-0187:31,195.79,1,16
248,Thingl-series-05.tif:0001-0463-0136:31,386.47,1,16
249,Thingl-series-05.tif:0001-0238-0420:32,19777.61,2,16
250,Thingl-series-05.tif:0001-0091-0390:32,19933.73,2,16
251,Thingl-series-05.tif:0001-0064-0297:32,20613.18,2,16
252,Thingl-series-05.tif:0001-0083-0248:32,20181.90,2,16
253,Thingl-series-05.tif:0001-0061-0167:32,19936.61,2,16
254,Thingl-series-05.tif:0001-0383-0157:32,19470.47,2,16
255,Thingl-series-05.tif:0001-0398-0187:32,19930.73,2,16
256,Thingl-series-05.tif:0001-0463-0136:32,19657.15,2,16
257,Thingl-series-05.tif:0001-0238-0420:33,256.90,1,17
258,Thingl-series-05.tif:0001-0091-0390:33,280.60,1,17
259,Thingl-series-05.tif:0001-0064-0297:33,712.69,1,17
260,Thingl-series-05.tif:0001-0083-0248:33,708.61,1,17
261,Thingl-series-05.tif:0001-0061-0167:33,187.93,1,17
262,Thingl-series-05.tif:0001-0383-0157:33,190.31,1,17
263,Thingl-series-05.tif:0001-0398-0187:33,195.64,1,17
264,Thingl-series-05.tif:0001-0463-0136:33,382.91,1,17
265,Thingl-series-05.tif:0001-0238-0420:34,19733.86,2,17
266,Thingl-series-05.tif:0001-0091-0390:34,19758.73,2,17
267,Thingl-series-05.tif:0001-0064-0297:34,20602.57,2,17
268,Thingl-series-05.tif:0001-0083-0248:34,20329.21,2,17
269,Thingl-series-05.tif:0001-0061-0167:34,19706.26,2,17
270,Thingl-series-05.tif:0001-0383-0157:34,19185.89,2,17
271,Thingl-series-05.tif:0001-0398-0187:34,19947.59,2,17
272,Thingl-series-05.tif:0001-0463-0136:34,19672.48,2,17
273,Thingl-series-05.tif:0001-0238-0420:35,256.29,1,18
274,Thingl-series-05.tif:0001-0091-0390:35,277.51,1,18
275,Thingl-series-05.tif:0001-0064-0297:35,706.80,1,18
276,Thingl-series-05.tif:0001-0083-0248:35,704.01,1,18
277,Thingl-series-05.tif:0001-0061-0167:35,186.31,1,18
278,Thingl-series-05.tif:0001-0383-0157:35,192.36,1,18
279,Thingl-series-05.tif:0001-0398-0187:35,195.84,1,18
280,Thingl-series-05.tif:0001-0463-0136:35,383.83,1,18
281,Thingl-series-05.tif:0001-0238-0420:36,19747.13,2,18
282,Thingl-series-05.tif:0001-0091-0390:36,19655.94,2,18
283,Thingl-series-05.tif:0001-0064-0297:36,20623.63,2,18
284,Thingl-series-05.tif:0001-0083-0248:36,20204.67,2,18
285,Thingl-series-05.tif:0001-0061-0167:36,19709.16,2,18
286,Thingl-series-05.tif:0001-0383-0157:36,19499.63,2,18
287,Thingl-series-05.tif:0001-0398-0187:36,19797.18,2,18
288,Thingl-series-05.tif:0001-0463-0136:36,19650.28,2,18
289,Thingl-series-05.tif:0001-0238-0420:37,258.43,1,19
290,Thingl-series-05.tif:0001-0091-0390:37,279.25,1,19
291,Thingl-series-05.tif:0001-0064-0297:37,711.80,1,19
292,Thingl-series-05.tif:0001-0083-0248:37,707.70,1,19
293,Thingl-series-05.tif:0001-0061-0167:37,186.28,1,19
294,Thingl-series-05.tif:0001-0383-0157:37,190.30,1,19
295,Thingl-series-05.tif:0001-0398-0187:37,194.19,1,19
296,Thingl-series-05.tif:0001-0463-0136:37,381.95,1,19
297,Thingl-series-05.tif:0001-0238-0420:38,19747.14,2,19
298,Thingl-series-05.tif:0001-0091-0390:38,19740.88,2,19
299,Thingl-series-05.tif:0001-0064-0297:38,20454.65,2,19
300,Thingl-series-05.tif:0001-0083-0248:38,20196.67,2,19
301,Thingl-series-05.tif:0001-0061-0167:38,19753.17,2,19
302,Thingl-series-05.tif:0001-0383-0157:38,18977.66,2,19
303,Thingl-series-05.tif:0001-0398-0187:38,19818.29,2,19
304,Thingl-series-05.tif:0001-0463-0136:38,19602.62,2,19
305,Thingl-series-05.tif:0001-0238-0420:39,257.18,1,20
306,Thingl-series-05.tif:0001-0091-0390:39,278.18,1,20
307,Thingl-series-05.tif:0001-0064-0297:39,709.30,1,20
308,Thingl-series-05.tif:0001-0083-0248:39,705.15,1,20
309,Thingl-series-05.tif:0001-0061-0167:39,184.66,1,20
310,Thingl-series-05.tif:0001-0383-0157:39,190.56,1,20
311,Thingl-series-05.tif:0001-0398-0187:39,195.38,1,20
312,Thingl-series-05.tif:0001-0463-0136:39,381.92,1,20
313,Thingl-series-05.tif:0001-0238-0420:40,19739.13,2,20
314,Thingl-series-05.tif:0001-0091-0390:40,19676.51,2,20
315,Thingl-series-05.tif:0001-0064-0297:40,20552.00,2,20
316,Thingl-series-05.tif:0001-0083-0248:40,20179.59,2,20
317,Thingl-series-05.tif:0001-0061-0167:40,19660.49,2,20
318,Thingl-series-05.tif:0001-0383-0157:40,19062.20,2,20
319,Thingl-series-05.tif:0001-0398-0187:40,19726.31,2,20
320,Thingl-series-05.tif:0001-0463-0136:40,19558.82,2,20
321,Thingl-series-05.tif:0001-0238-0420:41,259.05,1,21
322,Thingl-series-05.tif:0001-0091-0390:41,279.85,1,21
323,Thingl-series-05.tif:0001-0064-0297:41,712.42,1,21
324,Thingl-series-05.tif:0001-0083-0248:41,708.28,1,21
325,Thingl-series-05.tif:0001-0061-0167:41,185.63,1,21
326,Thingl-series-05.tif:0001-0383-0157:41,190.74,1,21
327,Thingl-series-05.tif:0001-0398-0187:41,195.49,1,21
328,Thingl-series-05.tif:0001-0463-0136:41,381.25,1,21
329,Thingl-series-05.tif:0001-0238-0420:42,19639.64,2,21
330,Thingl-series-05.tif:0001-0091-0390:42,19600.75,2,21
331,Thingl-series-05.tif:0001-0064-0297:42,20494.60,2,21
332,Thingl-series-05.tif:0001-0083-0248:42,20214.16,2,21
333,Thingl-series-05.tif:0001-0061-0167:42,19715.53,2,21
334,Thingl-series-05.tif:0001-0383-0157:42,19097.68,2,21
335,Thingl-series-05.tif:0001-0398-0187:42,19744.34,2,21
336,Thingl-series-05.tif:0001-0463-0136:42,19582.95,2,21
337,Thingl-series-05.tif:0001-0238-0420:43,255.04,1,22
338,Thingl-series-05.tif:0001-0091-0390:43,277.95,1,22
339,Thingl-series-05.tif:0001-0064-0297:43,708.61,1,22
340,Thingl-series-05.tif:0001-0083-0248:43,703.75,1,22
341,Thingl-series-05.tif:0001-0061-0167:43,184.36,1,22
342,Thingl-series-05.tif:0001-0383-0157:43,191.27,1,22
343,Thingl-series-05.tif:0001-0398-0187:43,194.95,1,22
