 ,Label,Mean,Ch,Frame
1,Thingl-series-03.tif:0001-0097-0197:1,820.64,1,1
2,Thingl-series-03.tif:0001-0214-0245:1,639.07,1,1
3,Thingl-series-03.tif:0001-0250-0231:1,642.67,1,1
4,Thingl-series-03.tif:0001-0298-0345:1,357.39,1,1
5,Thingl-series-03.tif:0001-0097-0197:2,23111.84,2,1
6,Thingl-series-03.tif:0001-0214-0245:2,22942.10,2,1
7,Thingl-series-03.tif:0001-0250-0231:2,22829.73,2,1
8,Thingl-series-03.tif:0001-0298-0345:2,22946.06,2,1
9,Thingl-series-03.tif:0001-0097-0197:3,823.83,1,2
10,Thingl-series-03.tif:0001-0214-0245:3,640.07,1,2
11,Thingl-series-03.tif:0001-0250-0231:3,645.42,1,2
12,Thingl-series-03.tif:0001-0298-0345:3,359.92,1,2
13,Thingl-series-03.tif:0001-0097-0197:4,23067.32,2,2
14,Thingl-series-03.tif:0001-0214-0245:4,22905.24,2,2
15,Thingl-series-03.tif:0001-0250-0231:4,22838.08,2,2
16,Thingl-series-03.tif:0001-0298-0345:4,22953.54,2,2
17,Thingl-series-03.tif:0001-0097-0197:5,818.82,1,3
18,Thingl-series-03.tif:0001-0214-0245:5,637.13,1,3
19,Thingl-series-03.tif:0001-0250-0231:5,641.39,1,3
20,Thingl-series-03.tif:0001-0298-0345:5,355.38,1,3
21,Thingl-series-03.tif:0001-0097-0197:6,22994.48,2,3
22,Thingl-series-03.tif:0001-0214-0245:6,22870.79,2,3
23,Thingl-series-03.tif:0001-0250-0231:6,22817.42,2,3
24,Thingl-series-03.tif:0001-0298-0345:6,23003.02,2,3
25,Thingl-series-03.tif:0001-0097-0197:7,822.20,1,4
26,Thingl-series-03.tif:0001-0214-0245:7,643.05,1,4
27,Thingl-series-03.tif:0001-0250-0231:7,646.76,1,4
28,Thingl-series-03.tif:0001-0298-0345:7,359.55,1,4
29,Thingl-series-03.tif:0001-0097-0197:8,22984.78,2,4
